Genotype Germplasm Treatment Compartment Block Plot Lasiosphaeriaceae Chaetomiaceae Pezizomycotina_fam_Incertae_sedis Sordariaceae Trichosphaeriaceae Bartaliniaceae Xylariales_fam_Incertae_sedis Chaetosphaeriaceae Myrmecridiaceae Microascales_fam_Incertae_sedis Microascaceae Togniniaceae Periconiaceae Herpotrichiellaceae Cladosporiaceae Mycosphaerellaceae Leotiaceae Piskurozymaceae Pyronemataceae Sanchytriaceae Sympoventuriaceae Chytridiaceae Mortierellaceae Chrysozymaceae Mrakiaceae Rhizophydiaceae Geastraceae Ceratobasidiaceae Rhizopodaceae Entolomataceae Strophariaceae Ganodermataceae Cantharellales_fam_Incertae_sedis Piptocephalidaceae Phaeosphaeriaceae Gymnoascaceae Pleosporaceae Didymosphaeriaceae Thyridariaceae Stachybotryaceae Bionectriaceae Hypocreales_fam_Incertae_sedis Aspergillaceae Arachnomycetaceae Trichocomaceae Myxotrichaceae Hyaloscyphaceae Pseudeurotiaceae Onygenales_fam_Incertae_sedis Sordariales_fam_Incertae_sedis Glomerellaceae Pezizaceae Clavicipitaceae Hypocreaceae Nectriaceae Cordycipitaceae Helotiaceae Niessliaceae Ophiocordycipitaceae
CK_S106_3 X106 Inbred_line CK Rhizosphere 3 P05 159 101 969 0 3 0 131 7 77 0 0 39 2 846 0 0 0 898 4 12 0 92 302 12 4 0 0 0 8506 175 0 0 2 45 19 0 0 4 8 144 211 1137 4094 0 86653 0 0 368 0 0 0 7 316 714 4425 19 62 0 12
CK_S107_1 X107 Inbred_line CK Rhizosphere 1 P08 67 112 199 0 3 5 251 8 61 0 10 149 0 267 0 5 0 397 31 12 0 0 1718 21 0 0 0 39 175 1075 0 3 28 70 19 0 6 18 13 65 1415 2310 11971 0 23561 6 3 753 4 16 0 0 119 341 5491 0 157 41 10
CK_S107_2 X107 Inbred_line CK Rhizosphere 2 P08 261 375 5748 0 5 16 169 11 81 0 0 50 30 225 0 0 0 411 18 0 0 14 877 11 3 22 2 15 123 5 0 0 83 40 266 0 0 0 15 239 549 11023 1887 0 89370 7 3 555 0 4 8 13 123 372 1698 4 132 20 0
CK_S107_3 X107 Inbred_line CK Rhizosphere 3 P08 39 118 2542 0 0 0 34 4 35 0 0 10 0 41 0 2 0 182 0 0 0 2 555 0 8 0 0 0 14932 0 0 2 27 26 0 9 0 0 4 78 408 2130 6823 0 56853 3 0 694 0 6 0 3 160 157 1136 9 45 0 21
CK_S108_1 X108 Inbred_line CK Rhizosphere 1 P05 85 98 496 0 0 7 65 4 61 0 0 48 0 99 0 0 0 482 9 0 0 7 849 15 0 8 2 5 151 244 0 0 11 20 4 0 3 0 6 15 1210 615 1338 0 56041 0 0 320 7 7 0 0 154 370 1762 0 134 24 8
CK_S108_2 X108 Inbred_line CK Rhizosphere 2 P05 76 293 9231 6 0 0 62 23 19 0 0 73 18 141 0 3 0 267 0 0 0 268 423 21 4 0 2 43 553 6 0 0 53 55 6 0 0 0 0 23 652 19861 6293 0 44919 8 0 880 0 9 2 19 89 254 1032 35 60 44 3
CK_S108_3 X108 Inbred_line CK Rhizosphere 3 P05 23 69 331 0 0 6 41 6 9 0 0 17 0 44 0 0 2 153 0 0 0 0 355 0 0 0 0 0 10376 6 0 0 9 5 0 0 0 0 0 91 1683 918 6454 0 88757 2 0 936 4 3 0 0 180 1004 864 151 45 4 30
CK_S109_1 X109 Hybrid CK Rhizosphere 1 P08 143 103 408 0 2 12 218 5 124 0 0 122 0 175 0 7 5 428 21 0 0 10 769 25 0 0 0 8 7 2 0 0 135 50 13 3 0 24 44 55 1184 4728 4141 7 29827 0 0 1175 6 9 7 0 66 377 2962 0 135 23 6
CK_S109_2 X109 Hybrid CK Rhizosphere 2 P08 148 134 5814 18 3 7 324 15 135 0 4 63 23 182 0 0 0 315 2 0 0 1099 389 18 4 0 0 6 4122 4 0 2 0 302 16 3 0 6 10 49 4930 9064 2998 0 56552 5 0 772 6 10 0 0 171 897 1342 0 74 4 4
CK_S109_3 X109 Hybrid CK Rhizosphere 3 P08 17 33 266 0 0 0 30 6 17 0 0 13 0 32 0 0 0 100 0 0 0 15 125 0 0 0 0 5 1381 0 0 0 0 0 0 0 2 0 0 65 79 9399 1144 0 86695 0 0 187 0 0 0 4 35 219 525 15 7 0 21
