Genotype Germplasm Treatment Compartment Block Plot Apodus Schizothecium Dichotomopilus Trichocladium Humicola Chaetomium Botryotrichum Botryoderma Gelasinospora Nigrospora Truncatella Ophiosphaerella Fusidium Chaetosphaeria Chloridium Myrmecridium Seychellomyces Cephalotrichum Phaeoacremonium Kernia Periconia Exophiala Cladosporium Mycosphaerella Neobulgaria Minimedusa Solicoccozyma Phlyctochytrium Scutellinia Byssonectria Ochroconis Mortierella Udeniozyma Mrakia Tausonia Rhizophydium Geastrum Waitea Thanatephorus Rhizopus Clitopilus Tubaria Ganoderma Sistotrema Syncephalis Setophoma Paraphoma Setophaeosphaeria Leucothecium Setosphaeria Paraphaeosphaeria Neoroussoella Simplicillium Sarocladium Paramyrothecium Achroiostachys Monocillium Clonostachys Acremonium Aspergillus Penicillium Arachnomyces Talaromyces Gymnoascus Ciliolarina Pseudeurotium Chrysosporium Pseudogymnoascus Remersonia Tetracladium Colletotrichum Striatibotrys Hydropisphaera Gliomastix Metacordyceps Trichoderma Volutella Fusicolla Fusarium Nectria Thelonectria Metarhizium Emericellopsis Lecanicillium Scytalidium Valsonectria Niesslia Purpureocillium
CK_S107_1 X107 Inbred_line CK Rhizosphere 1 P08 24 43 22 57 23 0 10 199 0 3 5 0 251 3 5 61 0 4 149 6 0 267 0 5 0 7 397 0 29 2 0 1718 6 0 0 0 0 34 5 175 1075 0 3 21 70 0 0 19 0 6 18 0 0 168 48 0 20 1296 2086 7 11964 0 23561 0 3 738 4 15 16 131 0 17 12 87 70 321 2 2109 3304 10 0 49 45 0 23 20 41 10
CK_S107_2 X107 Inbred_line CK Rhizosphere 2 P08 85 176 29 89 87 60 20 5748 0 5 16 0 169 5 3 81 0 0 50 0 30 225 0 0 0 10 411 0 9 9 0 877 11 3 0 22 2 15 0 123 5 0 0 73 40 0 0 262 0 0 0 15 4 647 224 0 41 311 9461 5 1882 0 89370 0 3 553 0 2 4 111 8 15 124 104 93 331 4 254 1374 24 3 30 900 0 21 10 20 0
CK_S107_3 X107 Inbred_line CK Rhizosphere 3 P08 14 25 27 0 38 49 4 2542 0 0 0 0 34 4 0 35 0 0 10 0 0 41 0 2 0 27 182 2 0 0 0 555 0 0 8 0 0 0 0 14932 0 0 2 0 26 0 0 0 9 0 0 0 0 129 78 0 18 372 1938 4 6819 0 56853 0 0 686 0 8 6 37 0 0 18 12 55 139 0 150 965 8 0 105 63 9 8 6 0 21
CK_S108_1 X108 Inbred_line CK Rhizosphere 1 P05 16 69 14 53 31 0 0 496 0 0 7 0 65 2 2 61 0 0 48 0 0 99 0 0 0 7 482 7 9 0 0 849 5 0 0 8 2 5 0 151 244 0 0 4 20 0 0 4 0 3 0 0 0 85 10 0 11 1178 507 0 1338 0 56041 0 0 320 7 0 7 71 0 5 0 27 79 359 5 295 1393 24 0 75 18 0 63 5 24 8
CK_S108_2 X108 Inbred_line CK Rhizosphere 2 P05 16 60 34 51 28 33 16 9231 6 0 0 0 62 7 16 19 0 0 73 0 18 141 0 3 0 53 267 40 0 0 0 423 12 4 0 0 2 43 0 553 6 0 0 0 55 0 0 4 0 0 0 0 33 419 15 0 39 371 15391 4 6289 0 44919 0 0 878 0 2 9 60 2 8 228 50 60 215 0 223 759 29 0 29 4034 2 0 3 44 3
CK_S108_3 X108 Inbred_line CK Rhizosphere 3 P05 10 13 25 15 15 14 0 331 0 0 6 0 41 0 6 9 0 0 17 0 0 44 0 0 2 0 153 0 0 0 0 355 0 0 0 0 0 0 0 10376 6 0 0 9 5 0 0 0 0 0 0 0 127 112 79 7 14 1662 710 0 6454 0 88757 0 0 936 4 0 3 39 0 5 15 6 153 990 0 160 657 8 9 27 96 24 6 0 4 30
CK_S109_1 X109 Hybrid CK Rhizosphere 1 P08 33 110 9 34 56 0 0 408 0 2 12 0 218 2 3 124 0 0 122 0 0 175 0 7 5 135 428 0 16 5 0 769 17 0 0 0 0 0 8 7 2 0 0 0 50 7 0 6 0 0 24 44 0 4085 52 0 30 1134 605 0 4141 7 29827 3 0 1169 6 6 9 98 7 3 3 32 39 347 0 241 2651 8 6 27 20 0 33 15 23 6
CK_S109_2 X109 Hybrid CK Rhizosphere 2 P08 32 116 23 50 23 14 24 5814 18 3 7 0 324 6 7 135 0 0 63 4 23 182 0 0 0 0 315 5 0 2 0 389 18 4 0 0 0 6 0 4122 4 0 2 0 302 0 0 11 3 0 6 10 0 591 46 3 36 2672 3935 0 2998 0 56552 0 0 768 6 4 10 74 0 0 1830 420 120 861 0 299 972 33 18 51 4521 0 0 8 4 4
CK_S109_3 X109 Hybrid CK Rhizosphere 3 P08 6 11 8 7 0 8 10 266 0 0 0 0 30 3 3 17 0 0 13 0 0 32 0 0 0 0 100 4 0 0 0 125 0 0 0 0 0 5 0 1381 0 0 0 0 0 0 0 0 0 2 0 0 0 8933 62 0 5 65 439 0 1144 0 86695 0 0 185 0 2 0 7 0 3 3 8 35 214 0 97 408 3 4 0 27 15 0 3 0 21
CK_S11_1 X11 Landrace CK Rhizosphere 1 P05 21 459 31 133 54 14 11 2453 0 12 9 0 374 3 5 94 0 0 266 0 55 404 7 6 0 11 869 0 50 42 0 2424 18 0 0 0 2 6 39 642 5 0 3 30 67 0 0 9 20 57 9 15 0 1083 27 0 46 2923 1499 0 11829 55 35791 0 0 3628 9 3 13 256 3 14 0 45 74 2958 0 409 2813 14 14 74 272 0 377 46 7 0
CK_S11_2 X11 Landrace CK Rhizosphere 2 P05 20 64 23 38 13 103 0 684 0 0 3 0 179 3 5 22 0 0 23 0 9 67 0 0 0 41 113 7 0 5 0 90 48 0 0 4 0 11 0 6706 352 0 0 0 12 0 0 3 0 0 6 0 0 624 26 0 11 699 485 148 3975 0 76296 0 0 563 0 2 3 20 0 2 59 69 220 23408 0 195 1041 20 14 59 123 4 71 8 20 26
CK_S11_3 X11 Landrace CK Rhizosphere 3 P05 13 29 14 0 28 130 0 499 0 0 0 0 33 49 2 22 0 8 498 0 0 46 6 0 0 0 172 0 2 4 0 137 0 0 0 0 3 0 0 3251 18 0 0 0 15 0 0 0 2 0 0 2 0 1162 10 0 6 129 1218 38 3964 0 92453 0 0 384 0 0 0 19 0 0 4 78 62 726 0 144 842 7 0 19 377 64 10 0 2 3
CK_S110_1 X110 Hybrid CK Rhizosphere 1 P11 16 105 12 29 17 0 0 149 0 0 6 0 315 0 2 82 2 0 50 0 5 133 0 0 0 19 174 0 26 6 0 372 9 0 0 0 2 2 0 46 26 0 2 3 21 0 28 4 0 0 13 0 0 255 10 0 10 409 225 0 4747 0 43264 0 0 429 5 3 6 81 0 8 0 39 35 106 0 254 2156 2 0 106 10 0 15 7 17 4
CK_S110_2 X110 Hybrid CK Rhizosphere 2 P11 46 71 14 43 0 4 4 1535 0 0 6 0 275 8 0 90 0 6 17 0 21 192 2 0 0 0 402 5 8 6 0 571 11 0 0 0 0 1901 0 75 1364 0 0 6 50 22 0 11 12 0 0 12 0 590 30 0 12 348 18015 0 6154 3 46064 0 0 728 0 0 0 53 0 8 80 2165 86 340 0 315 1128 17 5 58 239 0 0 9 7 0
CK_S110_3 X110 Hybrid CK Rhizosphere 3 P11 0 45 16 0 20 58 0 390 0 0 6 0 46 0 43 75 0 0 22 0 9 120 0 0 0 0 112 0 2 2 0 244 2 0 0 0 0 388 0 642 4 0 0 882 2 6 0 0 0 0 0 0 0 88 156 0 14 347 849 0 4163 0 63539 0 0 699 0 0 3 11 0 0 9 27 67 410 0 162 1816 0 0 18 45 8 31 0 0 24
CK_S111_1 X111 Hybrid CK Rhizosphere 1 P11 39 102 22 78 29 0 0 256 0 0 3 0 111 2 5 111 2 0 458 7 0 276 0 3 0 4 400 0 36 34 0 1245 9 6 0 0 4 3 0 11514 7 0 4 3 96 0 0 13 5 0 7 0 0 1548 35 0 34 27583 994 8 2064 4 3414 0 7 1467 5 5 6 170 0 11 27 42 54 318 0 483 1588 17 8 119 40 0 26 17 5 6
CK_S111_2 X111 Hybrid CK Rhizosphere 2 P11 31 176 40 72 77 20 7 20883 31 6 0 0 183 6 15 103 0 0 75 4 37 696 0 6 0 0 456 0 6 12 0 791 10 0 13 0 0 75 0 69 4 0 7 2 62 0 0 10 0 0 5 4 0 1330 31 0 41 2465 12998 10 6292 7 20661 0 3 1425 5 0 0 93 0 10 163 1493 46 270 2 349 1187 25 11 52 261 0 9 12 0 9
CK_S111_3 X111 Hybrid CK Rhizosphere 3 P11 0 0 16 0 16 25 0 161 0 0 0 0 22 0 3 8 0 0 12 0 0 72 0 5 0 0 149 0 0 0 0 439 0 0 0 0 0 0 0 4837 5 0 0 3 0 0 0 0 0 2 0 4 0 294 87 4 9 5439 823 0 2326 0 81594 0 0 431 0 6 0 16 0 0 7 41 30 6702 0 159 386 2 3 2 47 209 5 116 28 95
CK_S112_1 X112 Hybrid CK Rhizosphere 1 P08 15 300 24 58 21 0 11 1432 0 2 7 0 187 11 10 164 0 0 195 4 0 487 3 0 0 0 527 0 14 14 5 1778 10 4 0 0 4 0 6 25 36 0 0 220 76 0 0 13 0 0 207 13 0 11607 44 0 26 5528 402 0 7922 0 3651 3 0 1074 8 21 15 199 0 7 4 62 50 1185 0 509 2100 29 14 97 50 0 41 15 10 9
CK_S112_2 X112 Hybrid CK Rhizosphere 2 P08 123 42 19 21 102 11 12 4411 0 0 2 0 143 0 0 31 0 14 13 0 3 102 0 0 0 0 122 0 0 2 0 180 0 0 0 0 0 263 0 7630 13 0 0 0 27 0 0 3 0 0 8 7 0 393 19 0 27 1221 9611 6 4137 0 59742 0 0 311 0 28 0 27 0 2 1761 311 264 2319 0 197 914 4 6 28 331 3 5 4 8 9
CK_S112_3 X112 Hybrid CK Rhizosphere 3 P08 2 13 17 0 9 42 0 194 0 0 0 0 14 2 0 15 0 0 22 0 4 29 0 2 0 67 61 11 0 0 0 57 0 0 0 0 0 0 0 142 0 0 0 4 0 0 0 0 0 0 0 4 0 230 115 0 4 407 2971 0 16396 0 57833 0 0 255 0 0 0 9 0 0 0 11 19 125 0 87 579 4 4 10 40 0 18 0 9 11
CK_S113_1 X113 Hybrid CK Rhizosphere 1 P05 6 36 13 78 30 10 0 560 0 3 5 0 217 2 2 166 0 0 25 0 0 115 0 0 0 0 396 0 13 7 0 1260 6 0 0 0 6 13 0 21 9 0 0 5 65 15 0 0 3 0 5 4 5 72 24 0 64 360 598 63 2964 2 1821 0 0 832 5 0 6 99 0 13 0 33 54 222 0 251 1047 10 0 42 63 49 29 3 6 21
CK_S113_2 X113 Hybrid CK Rhizosphere 2 P05 104 179 37 73 50 18 11 14530 0 0 5 0 122 10 7 92 0 0 91 2 20 197 0 9 0 0 237 0 3 97 0 484 7 3 0 4 0 25 0 50 0 0 0 25 10 0 0 0 3 0 10 8 0 88 31 0 27 243 1091 6 4005 2 55463 0 2 965 0 12 15 63 3 13 22 71 67 250 0 295 1313 18 5 76 250 0 12 12 3 17
CK_S113_3 X113 Hybrid CK Rhizosphere 3 P05 0 267 102 227 133 13 22 13975 41 9 45 0 158 26 21 90 2 0 46 0 7 195 7 8 0 9 410 6 9 2 0 955 22 0 0 0 0 0 0 66 0 0 3 27 12 0 12 7 0 0 6 19 0 39 85 0 67 435 1076 0 2459 2 63124 0 30 3498 7 20 0 269 18 16 62 128 194 631 9 650 1366 109 21 165 388 0 0 38 8 0
CK_S114_1 X114 Hybrid CK Rhizosphere 1 P14 101 369 31 123 29 0 20 346 3 8 18 0 241 8 12 238 0 0 216 3 0 440 13 6 7 1674 630 0 36 15 12 2351 29 0 15 0 8 12 0 12 272 0 0 0 283 0 0 12 0 0 11 17 0 172 52 0 32 1059 1976 16 9371 6 5660 0 0 2271 12 0 13 541 0 31 14 2071 58 462 5 789 2925 35 13 143 62 0 444 55 11 10
CK_S114_2 X114 Hybrid CK Rhizosphere 2 P14 120 84 42 48 76 792 48 5905 0 2 7 0 293 333 10 76 0 7 79 4 12 841 0 11 2 3 433 4 4 7 3 1056 29 5 8 4 0 30 0 8489 13 0 2 0 79 0 0 3 8 0 0 14 0 147 28 0 38 5515 4585 21 7221 2 33628 3 7 1517 4 0 4 82 0 16 12 5136 91 502 0 252 1984 21 13 120 2738 0 46 15 435 14
CK_S114_3 X114 Hybrid CK Rhizosphere 3 P14 171 758 100 150 106 566 0 3850 11 26 47 0 280 35 20 60 0 0 199 7 5 113 0 10 0 0 200 0 0 5 2 1227 0 5 0 0 3 0 13 142 0 0 0 0 14 0 0 10 9 0 0 12 0 190 129 0 79 486 7749 5 3547 7 10026 0 5 1937 3 8 2 222 20 34 31 175 181 714 0 872 1837 77 14 76 2457 0 29 57 66 118
CK_S115_1 X115 Hybrid CK Rhizosphere 1 P11 95 468 22 102 39 15 13 286 0 0 8 0 186 0 12 73 3 0 716 12 0 784 5 7 0 11 908 2 56 18 0 2944 29 13 0 4 2 872 0 67 0 0 0 2 121 0 3 9 0 384 0 17 0 153 41 0 21 3262 772 18 3480 6 16057 8 5 3409 5 16 24 329 0 9 0 34 81 512 5 843 3068 43 15 59 52 0 24 16 24 14
CK_S115_2 X115 Hybrid CK Rhizosphere 2 P11 561 355 79 218 116 22 14 23315 5 2 12 0 301 19 12 132 0 14 92 0 27 569 12 0 2 71 1141 14 5 22 0 3131 70 10 0 0 0 38 0 156 836 0 5 0 172 0 4 43 8 0 7 21 0 505 52 0 52 1068 4933 31 16753 8 10970 2 0 2938 4 10 21 296 5 18 175 351 150 536 0 736 2004 42 18 157 1496 0 188 40 10 5
CK_S115_3 X115 Hybrid CK Rhizosphere 3 P11 41 228 38 104 81 210 0 1336 0 11 28 0 104 12 13 46 3 5 75 0 0 83 0 0 0 0 310 0 3 6 0 466 4 0 0 3 0 0 0 69 0 0 0 0 14 0 0 0 0 2 0 0 4 181 86 0 38 271 2928 0 2002 0 86894 0 3 685 0 4 13 72 3 27 3 41 81 271 0 358 1388 29 18 46 723 0 0 15 33 9
