Genotype Germplasm Treatment Compartment Block Plot Lasiosphaeriaceae Chaetomiaceae Pezizomycotina_fam_Incertae_sedis Sordariaceae Trichosphaeriaceae Bartaliniaceae Xylariales_fam_Incertae_sedis Chaetosphaeriaceae Myrmecridiaceae Microascales_fam_Incertae_sedis Microascaceae Togniniaceae Periconiaceae Herpotrichiellaceae Cladosporiaceae Mycosphaerellaceae Leotiaceae Piskurozymaceae Pyronemataceae Sanchytriaceae Sympoventuriaceae Chytridiaceae Mortierellaceae Chrysozymaceae Mrakiaceae Rhizophydiaceae Geastraceae Ceratobasidiaceae Rhizopodaceae Entolomataceae Strophariaceae Ganodermataceae Cantharellales_fam_Incertae_sedis Piptocephalidaceae Phaeosphaeriaceae Gymnoascaceae Pleosporaceae Didymosphaeriaceae Thyridariaceae Stachybotryaceae Bionectriaceae Hypocreales_fam_Incertae_sedis Aspergillaceae Arachnomycetaceae Trichocomaceae Myxotrichaceae Hyaloscyphaceae Pseudeurotiaceae Onygenales_fam_Incertae_sedis Sordariales_fam_Incertae_sedis Glomerellaceae Pezizaceae Clavicipitaceae Hypocreaceae Nectriaceae Cordycipitaceae Helotiaceae Niessliaceae Ophiocordycipitaceae
CK_R116_3 X116 Hybrid CK Root 3 P08 125 39 1671 0 0 0 11596 0 134 0 0 0 341 27 0 0 0 0 0 0 0 0 0 0 0 0 0 160 0 59 0 0 20 0 101 0 22 0 0 7 311 4656 1305 0 54093 0 0 0 0 0 0 35 91 7 3752 18 367 28 0
CK_R117_1 X117 Hybrid CK Root 1 P14 142 148 2177 0 0 0 1285 6 204 0 0 0 31 98 0 0 0 0 0 0 0 0 0 0 0 0 0 4757 9 195 0 0 0 0 120 0 10 3 11 17 837 349 5196 0 37565 0 0 0 0 0 0 3 278 454 10895 2 64 17 0
CK_R117_2 X117 Hybrid CK Root 2 P14 22 46 24086 0 0 0 1513 0 444 0 0 0 61 123 0 0 0 0 0 0 0 0 0 0 0 0 0 80 3 55 0 0 0 0 9 0 40 0 0 33 53 13095 302 0 1499 0 0 0 0 0 0 0 39 5 1740 0 178 9 0
CK_R117_3 X117 Hybrid CK Root 3 P14 117 4 2408 0 0 0 4638 0 174 0 0 0 303 51 0 0 0 0 0 0 0 0 8 0 0 0 0 5 3 255 0 0 2 0 136 0 20 0 0 5 4013 2310 1518 0 66168 0 0 0 0 0 0 7 82 22 3018 2 37 0 0
CK_R118_1 X118 Hybrid CK Root 1 P08 93 0 42171 0 0 0 2791 99 202 0 0 0 209 106 0 0 0 0 0 0 0 0 0 0 0 0 0 3173 8 34 0 0 17 0 292 0 8 2 0 9 938 1097 2190 0 472 0 0 3 0 0 0 0 13 65 11296 0 200 81 11
CK_R118_2 X118 Hybrid CK Root 2 P08 33 6 12919 0 0 0 916 0 1014 0 0 0 24 43 0 0 0 0 0 0 0 0 0 0 0 0 0 19 14 65 4 0 3 0 49 0 51 0 0 7897 336 8813 188 0 9060 0 0 0 0 0 0 16 87 8 1349 89 65 0 6
CK_R118_3 X118 Hybrid CK Root 3 P08 67 75 3146 0 0 0 4353 5 255 0 0 0 229 13 0 0 0 0 0 0 0 0 12 0 0 0 0 5 7 75 0 0 0 0 70 0 878 0 0 0 304 2559 2442 0 78944 0 0 0 0 0 0 52 216 32 2305 67 29 35 0
CK_R119_1 X119 Teosinte CK Root 1 P08 372 124 6774 0 0 0 2938 17 108 0 0 5 264 214 0 0 0 0 0 0 0 0 16 0 0 0 0 49744 0 41 5 0 8 0 95 0 28 9 0 17 236 1131 659 0 2049 0 0 0 0 0 0 0 75 1076 5626 0 383 23 17
CK_R119_2 X119 Teosinte CK Root 2 P08 27 5 9950 0 0 0 1648 2 85 0 0 0 100 71 0 0 0 0 0 0 0 2 20 85 0 0 0 195 0 3 6 0 7 0 46 0 74 0 0 32 38 9176 211 0 1039 0 0 0 0 0 0 2 3 6 1920 0 164 0 0
CK_R119_3 X119 Teosinte CK Root 3 P08 86 36 3378 0 0 0 2173 0 149 0 0 0 601 83 0 0 0 0 0 0 0 0 7 88 0 0 0 31 30 18 12 0 5 0 352 0 61 0 0 51 4132 35870 1681 0 24809 0 0 0 0 0 0 80 243 189 3767 51 96 5 0
CK_R12_1 X12 Landrace CK Root 1 P14 100 343 15305 0 0 0 4445 3 168 0 0 0 258 137 0 0 0 0 0 0 0 0 0 0 0 0 0 5137 0 76 0 0 5 0 68 0 0 0 0 6 365 8961 2191 0 32587 0 0 12 0 0 0 2 34 2571 2195 0 92 455 0
CK_R12_2 X12 Landrace CK Root 2 P14 77 80 5709 0 0 0 2524 8 51 0 0 0 69 59 0 0 0 0 0 0 0 0 0 0 0 0 0 17 4 40 9 0 3 0 57 0 0 0 0 6 93 1428 721 0 2812 0 0 6 0 0 0 0 35 29 4117 0 5 10 3
CK_R12_3 X12 Landrace CK Root 3 P14 101 45 6191 0 0 0 1729 0 65 0 0 0 204 91 0 0 0 0 0 0 0 0 30 0 0 0 0 35 233 178 0 0 0 0 77 0 0 0 0 0 400 1857 6424 0 59953 0 0 26 0 0 0 33 320 46 5238 6 293 13 2
CK_R120_1 X120 Teosinte CK Root 1 P05 1017 131 3817 0 0 0 10244 9 160 0 0 0 1480 567 4 0 3 14 8 0 0 0 153 0 0 0 0 6977 0 145 0 0 0 0 571 0 4 0 0 48 617 477 1905 0 3229 0 0 7 0 0 0 0 26 281 10806 0 167 165 22
CK_R120_2 X120 Teosinte CK Root 2 P05 75 127 9105 0 0 2 1986 0 84 0 0 0 129 62 0 0 0 0 0 0 0 0 249 0 0 0 0 63 3 15 11 0 0 0 176 0 85 0 0 48 222 662 2741 0 4413 0 0 6 0 0 0 0 59 30 2691 0 107 4 4
CK_R120_3 X120 Teosinte CK Root 3 P05 107 75 6135 0 0 0 3092 0 3885 0 0 0 1741 64 0 0 0 7 0 0 0 0 0 0 0 0 0 3 5 1750 0 0 0 6 91 0 14 0 0 10 622 2792 711 0 30816 0 0 0 0 0 0 355 34 7 4760 6 0 5 0
CK_R121_1 X121 Teosinte CK Root 1 P14 870 28 8387 4 0 28 4409 4 217 0 7 13 517 59 10 0 0 21 0 0 0 7 371 5 34 0 0 199 3269 430 0 0 424 0 27 2 40 0 4 19 591 2634 1450 0 20321 0 0 220 0 0 3 0 352 335 3984 0 151 31 0
CK_R121_2 X121 Teosinte CK Root 2 P14 69 1712 1584 0 0 0 795 2 92 0 0 0 248 12 0 0 0 0 0 0 0 0 0 0 0 0 0 3392 4 20 0 0 6 0 18 0 144 4 0 43 65 660 448 0 15395 0 0 7 0 0 0 0 43 6 1608 7 4801 12 0
CK_R121_3 X121 Teosinte CK Root 3 P14 1207 62 12394 0 0 0 5396 0 234 0 0 0 1127 7 0 0 0 0 0 0 0 22 5 0 0 0 0 0 3 1299 0 0 1320 0 238 0 39 0 2 7 387 6089 940 0 26320 0 0 2 0 0 0 6 57 18 5323 21 51 35 0
CK_R122_1 X122 Teosinte CK Root 1 P05 235 5 2547 0 0 0 3524 3 98 0 0 0 1335 136 0 0 0 0 0 0 0 0 54 0 0 0 0 106 0 1552 0 0 0 0 435 0 0 0 0 19 2017 217 912 0 746 0 0 0 0 0 0 0 33 106 10685 0 84 101 11
CK_R122_2 X122 Teosinte CK Root 2 P05 90 3 1157 0 0 0 840 0 69 0 0 0 89 418 0 0 0 0 0 0 0 0 3 0 0 0 0 16 0 7 1382 0 2 0 360 0 50 0 0 46 83 418 388 0 1470 0 0 5 0 0 0 5 39 2 9055 41 94 15 4
